ID;RK;PICK;CLASS;Height;PLAYER;Min_RecRk;TEAM;CONF;G;ROLE;MIN_PER;PRPG;D_PRPG;BPM;OBPM;DBPM;ORTG;D_RTG;USG;EFG;TS;OR;DR;AST;TO;A_TO;BLK;STL;FTR;FC_40;Dunks;CLOSE2;CLOSE2_PER;FAR 2; FAR2_PER;FT;FT_PER;2P;2P_PER;3P_100;3P;3P_PER;AST;REB;PTS;Dunks_M;Dunks_A;Close2_M;Close2_A;FAR2_M;FAR2_A;FTM;FTA;2PM;2PA;3PM;3PA;Year
25;13.45;-;Jr;06/abr;Ja'Monta Black;0;Missouri St.;MVC;33;Wing G;70.8;2.1;2.2;1.2;2.0;-0.8;117.0;104.6;13.6;56.1;57.4;1.3;11.8;5.2;8.3;1.6;0.6;0.7;7.6;2.4;0-0;07/set;.778;18-39;.462;16-18;.889;25-48;.521;11.9;72-189;.381;0.9;3.1;8.7;;;;;;;;;;;;;
26;13.48;-;So;06/abr;Le'Tre Darthard;0;Utah Valley;WAC;26;Combo G;58.0;1.4;2.5;0.6;-0.1;0.7;105.1;100.2;16.8;48.5;52.8;2.1;7.6;10.0;14.8;1.3;1.2;1.6;27.8;2.9;01/jan;23-43;.535;17-49;.347;44-54;.815;40-92;.435;8.5;36-102;.353;1.4;2.5;9.8;;;;;;;;;;;;;
27;13.52;-;Sr;05/nov;Tommy Schmock;0;Ohio;MAC;34;Combo G;54.8;1.0;1.9;-0.4;-0.8;0.4;108.8;102.3;15.0;53.9;54.9;0.7;10.2;13.0;14.0;2.0;0.3;2.0;12.6;3.0;0-0;17-33;.515;0-5;.000;16-24;.667;17-38;.447;11.8;57-152;.375;1.5;1.9;6.6;;;;;;;;;;;;;
28;13.53;-;So;05/nov;Trey Thomas;0;Vanderbilt;SEC;32;Combo G;40.3;0.7;1.8;0.2;0.2;-0.0;95.9;99.5;17.6;48.5;51.1;1.0;6.9;9.9;18.5;0.8;0.2;1.4;14.7;2.3;0-0;out/15;.667;mai/21;.238;21-25;.840;15-36;.417;13.3;45-134;.336;0.9;1.2;5.8;;;;;;;;;;;;;
29;13.61;-;So;06/mai;Rubin Jones;17.2;North Texas;CUSA;29;Wing G;76.3;1.2;3.6;0.8;-0.8;1.6;100.7;94.6;17.2;52.2;55.5;2.5;9.7;15.2;24.9;1.1;0.8;1.9;33.3;2.7;03/mar;30-40;.750;out/36;.278;45-62;.726;40-76;.526;7.9;38-110;.345;2.2;3.1;8.2;;;;;;;;;;;;;
30;13.63;-;Fr;06/mar;Connor Hickman;0;Bradley;MVC;30;Combo G;58.3;1.2;2.2;-0.4;-1.0;0.6;106.0;99.6;15.5;52.2;54.6;2.7;8.6;9.1;17.4;1.0;0.8;1.4;16.9;3.4;0-0;21-45;.467;21-46;.457;24-30;.800;42-91;.462;7.3;34-87;.391;1.1;2.3;6.8;;;;;;;;;;;;;
31;13.64;-;Jr;06/abr;Nicolas Timberlake;0;Towson;CAA;34;Wing G;82.7;3.3;3.1;3.2;3.2;0.0;113.8;100.5;20.7;54.1;57.5;1.9;14.0;11.6;15.6;1.1;0.8;1.5;26.6;2.1;19-22;58-101;.574;30-86;.349;81-101;.802;88-187;.471;10.3;78-192;.406;1.9;4.4;14.4;;;;;;;;;;;;;
32;13.65;-;Sr;06/mai;Dominick Welch;0;St. Bonaventure;A10;33;Wing G;93.4;2.6;3.8;2.9;2.1;0.8;106.3;98.3;17.2;54.6;55.9;4.0;15.0;8.1;15.9;1.0;2.1;2.0;10.4;2.8;08/set;37-62;.597;16-41;.390;28-36;.778;52-102;.510;11.9;91-243;.374;1.6;6.0;12.3;;;;;;;;;;;;;
33;13.69;-;Sr;06/fev;Ryan Greer;32;Northwestern;B10;30;Scoring PG;47.4;0.7;1.8;-0.3;-1.3;1.0;103.9;99.8;13.0;45.4;49.6;1.9;9.7;18.3;17.1;3.0;0.0;1.6;17.6;1.8;0-0;ago/20;.400;20-53;.377;18-19;.947;28-73;.384;3.5;14-35;.400;2.1;1.9;3.9;;;;;;;;;;;;;
34;13.71;-;Sr;06/fev;D.J. Wilkins;0;Drake;MVC;29;Combo G;60.3;2.0;2.3;0.3;0.3;0.1;107.9;103.5;18.4;51.4;54.9;0.7;5.0;11.4;15.8;1.3;0.0;1.9;19.7;2.9;0-0;dez/24;.500;34-77;.442;42-48;.875;46-101;.455;10.4;53-143;.371;1.9;1.3;10.3;;;;;;;;;;;;;
35;13.73;-;Jr;06/abr;Alex Arians;0;South Dakota St.;Sum;33;Wing G;67.5;1.4;2.2;0.7;0.6;0.1;113.2;104.2;14.5;56.6;61.5;0.7;16.0;10.9;18.5;1.7;0.9;1.5;34.4;2.6;01/fev;37-61;.607;20-58;.345;55-63;.873;57-119;.479;4.0;31-64;.484;2.1;4.0;8.1;;;;;;;;;;;;;
36;13.74;-;Jr;06/abr;Kyle Rose;0;Fordham;A10;32;Wing G;74.2;0.6;3.1;0.4;-1.3;1.8;100.8;97.0;13.9;50.0;52.4;3.8;8.6;8.6;17.5;1.0;1.1;2.4;17.1;2.9;0-0;22-39;.564;jul/17;.412;28-36;.778;29-56;.518;9.4;51-155;.329;1.3;3.4;7.5;;;;;;;;;;;;;
37;13.75;-;So;06/mar;Keaston Willis;0;Louisiana Tech;CUSA;31;Combo G;76.7;2.2;2.8;2.7;2.4;0.3;109.2;100.9;18.2;53.3;54.5;1.6;9.7;7.7;8.9;1.5;0.6;1.8;13.9;1.6;01/jan;24-49;.490;22-57;.386;31-45;.689;46-106;.434;13.1;84-217;.387;1.3;3.3;12.1;;;;;;;;;;;;;
38;13.75;-;Jr;06/abr;Nahiem Alleyne;18.6;Virginia Tech;ACC;36;Wing G;77.6;1.8;3.2;1.1;0.6;0.6;102.8;97.4;17.3;48.2;51.8;0.5;10.9;8.7;13.3;1.3;0.1;1.3;20.0;1.9;03/abr;14-32;.438;40-107;.374;52-61;.852;54-139;.388;9.3;62-166;.373;1.5;2.8;9.6;;;;;;;;;;;;;
39;13.77;-;So;06/jun;Tanner Mans;0;VMI;SC;29;Wing G;56.3;0.9;1.3;-2.3;-1.5;-0.9;111.4;110.8;11.4;56.6;58.8;2.7;12.3;8.4;16.9;1.9;0.4;1.6;15.8;4.4;01/jan;14-23;.609;01/mar;.333;15-18;.833;15-26;.577;7.7;33-88;.375;1.5;3.4;5.6;;;;;;;;;;;;;
40;13.79;-;So;06/jul;Tyler Millin;0;Middle Tennessee;CUSA;32;Wing F;47.4;0.3;1.8;-2.3;-2.1;-0.2;101.1;101.8;12.6;52.4;54.4;4.3;13.6;4.6;20.7;0.6;1.9;0.9;23.0;4.2;04/jun;24-41;.585;mar/15;.200;20-29;.690;27-56;.482;6.1;26-70;.371;0.6;3.2;5.1;;;;;;;;;;;;;
41;13.83;-;Sr;06/mai;Andre Gustavson;0;Richmond;A10;28;Wing G;46.1;0.4;2.3;-0.2;-1.8;1.6;99.5;100.1;11.5;46.7;50.6;2.8;9.3;8.0;15.9;1.5;0.8;2.6;37.1;2.9;01/jan;19-37;.514;jun/16;.375;27-39;.692;25-53;.472;4.5;16-52;.308;1.1;2.5;4.5;;;;;;;;;;;;;
42;13.85;-;Jr;06/mai;Jaylon Hall;0;Morehead St.;OVC;27;Scoring PG;48.6;1.5;2.0;1.1;0.1;1.0;110.2;102.1;17.6;53.7;56.4;2.0;9.4;15.9;16.0;1.8;1.0;2.1;41.9;3.6;03/mai;out/28;.357;14-27;.519;41-62;.661;24-55;.436;9.3;37-93;.398;1.9;2.3;7.4;;;;;;;;;;;;;
43;13.86;-;Sr;06/abr;Emmanuel Bandoumel;0;SMU;Amer;33;Wing G;76.7;1.9;3.1;1.0;1.0;0.0;102.9;98.2;18.4;47.2;50.5;3.0;9.8;11.2;13.0;1.4;0.9;1.1;19.6;2.2;15-18;40-84;.476;mai/37;.135;51-62;.823;44-117;.376;11.3;70-199;.352;1.8;3.8;10.6;;;;;;;;;;;;;
44;13.90;-;Sr;06/abr;RJ Eytle-Rock;0;Utah St.;MWC;30;Combo G;54.5;1.2;2.3;0.0;-0.4;0.4;99.8;99.5;18.4;49.5;53.7;1.9;9.2;12.8;18.6;1.3;0.3;1.4;29.0;3.1;0-0;33-56;.589;16-47;.340;45-56;.804;49-103;.476;7.3;31-90;.344;1.8;2.2;7.7;;;;;;;;;;;;;
45;13.94;-;Sr;06/abr;James Reese V;0;South Carolina;SEC;28;Combo G;71.0;2.4;3.1;1.8;0.4;1.4;109.6;97.6;15.8;51.1;53.1;1.5;6.7;11.7;12.8;1.7;0.4;1.9;12.6;2.5;02/mar;25-42;.595;38-80;.475;27-33;.818;63-122;.516;9.0;47-139;.338;1.8;2.3;10.4;;;;;;;;;;;;;
46;13.94;-;So;06/mai;Mikal Dawson;0;Akron;MAC;32;Wing G;61.1;1.2;2.1;1.4;0.7;0.7;112.7;102.2;13.1;52.3;54.5;5.8;11.1;6.2;13.4;1.1;0.3;2.6;21.6;2.9;0-0;13-23;.565;01/mai;.200;24-33;.727;14-28;.500;10.0;44-125;.352;0.8;3.4;5.9;;;;;;;;;;;;;
47;13.98;-;Jr;06/mai;Cameron Brown;0;Saint Joseph's;A10;30;Wing G;75.5;0.7;2.8;0.5;-0.8;1.3;95.7;100.3;16.4;50.0;50.5;3.2;12.3;11.8;19.5;1.1;1.0;1.8;12.0;2.1;02/mar;32-53;.604;22-56;.393;16-28;.571;54-109;.495;8.0;42-125;.336;1.8;4.3;8.3;;;;;;;;;;;;;
48;13.99;-;Sr;06/abr;Devon Cooper;33.2;George Mason;A10;30;Combo G;81.0;2.0;2.6;0.2;0.7;-0.5;104.2;104.3;18.3;57.1;58.4;0.2;8.3;12.9;18.6;1.1;0.3;1.0;13.5;2.5;0-0;26-44;.591;16-44;.364;28-38;.737;42-88;.477;11.7;79-193;.409;2.1;2.4;11.6;;;;;;;;;;;;;
49;14.07;-;Jr;06/mar;Francisco Farabello;71.8;TCU;B12;34;Combo G;47.1;1.5;2.2;4.3;1.5;2.8;113.9;93.3;12.3;54.1;58.4;1.3;13.5;12.0;20.9;1.5;0.2;1.8;24.6;1.6;0-0;jun/14;.429;03/set;.333;27-30;.900;set/23;.391;9.1;38-99;.384;1.3;2.4;4.7;;;;;;;;;;;;;
50;14.12;-;Jr;06/mai;Dexter Dennis;0;Wichita St.;Amer;27;Wing G;74.1;1.5;3.4;1.8;0.3;1.5;101.0;95.3;16.2;43.9;48.7;5.2;12.9;10.1;16.7;1.1;3.2;1.7;29.9;2.8;07/ago;26-50;.520;nov/36;.306;48-61;.787;37-86;.430;8.4;35-118;.297;1.6;5.0;8.4;;;;;;;;;;;;;
51;14.14;-;Jr;06/jun;Rivaldo Soares;0;Oregon;P12;34;Wing F;45.2;1.0;1.6;0.1;0.7;-0.6;105.6;102.3;14.3;49.6;52.6;5.2;11.3;6.5;15.9;1.1;1.2;0.7;28.8;2.8;04/mai;29-44;.659;nov/22;.500;27-38;.711;40-66;.606;6.2;17-66;.258;0.7;2.7;4.7;;;;;;;;;;;;;
52;14.25;-;So;06/jan;Giovanni Santiago;0;Kent St.;MAC;26;Combo G;58.5;1.7;2.6;1.6;0.4;1.2;113.7;101.5;14.8;50.0;53.8;1.1;9.0;12.6;11.3;2.7;0.3;2.3;22.2;1.9;0-0;15-23;.652;jul/21;.333;35-41;.854;22-44;.500;11.3;47-141;.333;2.0;2.4;8.6;;;;;;;;;;;;;
53;14.26;-;Sr;06/fev;Jalen Ray;0;Hofstra;CAA;28;Combo G;75.4;2.5;2.2;0.9;2.2;-1.3;110.0;107.6;18.9;52.7;55.7;1.8;10.5;9.3;10.3;1.6;0.7;1.6;20.0;2.2;0-0;16-41;.390;21-46;.457;49-59;.831;37-87;.425;13.1;79-208;.380;1.7;3.3;13.4;;;;;;;;;;;;;
54;14.36;-;Sr;06/mar;Davion Mintz;20;Kentucky;SEC;31;Combo G;56.0;2.4;2.7;3.2;2.3;0.8;110.4;96.2;17.4;47.8;51.0;3.2;6.8;11.2;13.4;1.8;0.6;1.4;29.6;2.7;03/mar;24-40;.600;18-57;.316;47-67;.701;42-97;.433;9.7;44-129;.341;1.8;2.2;8.5;;;;;;;;;;;;;
55;14.37;-;Sr;06/mar;Tray Hollowell;0;Morehead St.;OVC;31;Combo G;69.2;1.1;2.3;-0.7;0.3;-1.0;97.3;103.6;20.1;54.2;55.7;1.0;9.5;11.9;23.1;0.8;0.2;1.4;11.8;2.2;0-0;14-29;.483;13-28;.464;25-32;.781;27-57;.474;15.1;80-214;.374;1.7;2.6;10.4;;;;;;;;;;;;;
56;14.55;-;Sr;06/fev;Jamir Harris;41.4;Seton Hall;BE;31;Combo G;56.1;1.2;2.2;0.3;0.3;0.1;101.4;99.7;17.1;48.6;50.5;1.4;4.0;7.9;15.6;0.9;0.1;1.3;13.6;2.3;0-0;19-39;.487;mai/24;.208;22-29;.759;24-63;.381;12.5;53-150;.353;0.9;1.1;7.9;;;;;;;;;;;;;
57;14.59;-;Sr;06/abr;Exavian Christon;0;Louisiana Tech;CUSA;31;Combo G;59.0;-0.3;2.0;-2.0;-2.8;0.8;96.4;102.9;9.5;44.2;48.5;0.8;8.5;8.1;18.3;1.7;0.6;1.0;23.3;2.4;01/jan;set/19;.474;ago/25;.320;20-24;.833;17-44;.386;4.6;19-59;.322;1.2;2.0;3.4;;;;;;;;;;;;;
